batch:10  lambda:100
epoch,dis_loss,gan_mae,gan_entropy,vgan_mae,vgan_entropy
337,0.27367,2.85316,2.67855,3.45824,3.31681
338,0.699363,3.06355,2.72202,3.05144,2.96802
339,0.650487,2.6573,2.59342,4.2866,4.26225
340,0.94128,2.75872,2.47419,4.05513,4.01367
341,1.19883,2.94467,2.81297,2.99905,2.99037
342,0.993041,3.42648,3.40151,3.11561,3.06309
343,0.95857,2.96543,2.81091,4.01475,3.99329
344,0.72645,3.06533,2.95869,2.95726,2.84745
345,0.56742,2.6557,2.73917,4.50203,4.4637
346,0.684236,2.46262,2.28881,7.09102,7.15586
347,0.824736,2.27986,2.29022,3.99997,3.88439
348,0.731257,2.6937,2.66336,3.40463,3.32586
349,0.54118,2.66453,2.57374,3.88644,3.99702
350,0.860098,2.62543,2.49541,4.48498,4.50767
351,0.916199,2.26352,2.58101,3.56699,3.58902
352,0.601118,2.59965,2.44967,3.7491,3.59488
353,0.786797,2.47877,2.48835,10.3047,10.1751
354,1.02708,3.02981,2.69677,4.10883,4.1188
355,0.756155,2.4071,2.24881,3.32343,3.3177
356,0.608624,2.54936,2.61158,3.67221,3.82222
357,1.04065,2.76261,2.72829,4.86022,4.81806
358,0.847394,2.62599,2.61688,5.56317,5.38713
359,0.470353,2.52376,2.3687,15.8879,15.8535
360,0.166468,2.37533,2.43002,7.42701,7.47405
361,0.276248,2.19509,2.06239,11.155,11.1564
362,0.307895,2.0237,2.14131,7.90801,8.07984
363,0.236237,2.1508,2.18595,5.70678,5.72767
364,0.563292,2.14554,2.3262,4.99218,4.87973
365,0.236431,2.39786,2.46225,4.47661,4.43643
366,0.876628,2.42303,2.03283,3.51403,3.7167
367,0.529546,2.55176,2.50997,3.27526,3.22635
368,0.584014,2.49766,2.68035,3.55111,3.65752
369,0.823001,3.43831,3.27378,4.67222,4.63478
370,0.876359,2.11403,2.31966,3.97925,3.72112
371,1.03779,2.53884,2.73601,3.13353,2.82173
372,0.720837,2.83422,2.65871,13.683,13.7012
373,0.239568,2.45364,2.15997,5.24374,5.27225
374,0.606684,2.22467,2.33537,7.79619,7.86175
375,0.353437,2.2269,2.2851,4.39873,4.48331
376,0.159288,2.95807,2.51772,8.15153,8.20497
377,0.34559,2.31442,2.46775,3.46555,3.45875
378,0.514285,2.44465,2.38941,12.5288,12.6014
379,0.312035,2.39753,2.30535,4.35475,4.33699
380,0.770783,2.29554,2.13788,3.04343,3.04067
381,0.414338,2.57252,2.64072,3.86848,3.87408
382,0.589345,2.32016,2.28454,4.07673,4.10622
383,1.02588,2.35122,2.21154,5.52474,5.63029
384,0.645514,2.63987,2.58527,4.20564,4.27794
385,0.842764,2.43547,2.73839,2.9027,3.05885
386,0.500976,3.00312,2.82645,3.10739,3.25754
387,0.771297,3.19348,3.18691,5.92014,5.87565
388,0.863128,2.13984,2.2055,6.15557,6.00766
389,1.09831,2.72508,2.41677,3.47283,3.45862
390,0.745544,2.5233,2.22838,4.60407,4.64191
391,0.89784,2.39264,2.32169,3.04169,3.20318
392,0.747961,2.56447,2.61799,4.60505,4.64254
393,0.17303,2.4062,2.26257,3.47551,3.4419
394,0.464448,2.72674,2.87005,5.11328,5.16818
395,1.01133,2.29062,2.49657,3.38365,3.18959
396,1.20447,2.80887,2.6985,2.96365,2.79986
397,0.79012,2.51987,2.58367,3.59537,3.70253
398,0.721985,2.40389,2.54532,2.82964,2.86559
399,1.2239,2.67306,2.60774,3.15374,3.38707
400,0.573874,2.87841,2.97532,3.31654,3.49117
401,0.392462,1.99616,2.18266,3.22871,3.14167
402,0.426884,2.15519,2.25558,4.2446,4.25958
403,1.01948,2.47782,2.35562,4.04583,3.92744
404,0.981208,2.505,2.49357,4.14052,4.1067
405,0.936987,2.89257,3.00278,3.78082,3.7865
406,0.679209,2.74864,2.7422,6.10611,6.15407
407,0.367001,2.45283,2.36637,4.95931,5.01634
408,0.215267,2.43777,2.187,3.24312,3.25605
409,0.618865,2.40253,2.35726,3.62494,3.59122
410,0.649046,2.6746,2.73999,4.36052,4.3859
411,1.05329,2.20675,2.34035,2.72654,2.65275
412,0.374387,3.09262,3.07874,2.86611,2.79362
413,0.611011,2.04569,2.15474,5.98191,6.01526
414,0.528016,2.32008,2.31411,2.88396,2.97502
415,0.795152,2.2739,2.26007,5.72553,5.67884
416,0.903404,2.04887,2.08827,3.85191,3.93122
417,0.858667,2.39857,2.50208,3.89318,3.89518
418,0.972845,2.27096,2.28057,3.43748,3.34028
419,0.562142,2.70548,2.7973,3.50495,3.54131
420,0.532016,2.73675,3.46572,3.82288,3.95689
421,0.769052,2.34223,2.23079,3.09105,3.10402
422,1.01298,2.3922,2.35362,3.59906,3.61295
423,0.989531,2.72653,2.69725,3.11196,3.15266
424,0.728419,2.65626,2.58144,4.65323,4.7868
425,0.72861,2.97024,2.79999,3.39652,3.50467
426,1.18054,2.52846,2.66227,3.81437,3.8469
427,0.987292,2.6855,2.65234,3.6956,3.82924
428,0.927419,2.45525,2.55003,3.93343,3.82382
429,1.36033,2.94642,2.77811,3.60803,3.53573
430,1.17162,2.38784,2.20614,3.31269,3.41794
431,1.08223,2.33704,2.46004,3.32562,3.37838
432,0.950051,2.31772,2.34345,3.34057,3.26564
433,0.857209,2.41631,2.43177,3.46611,3.42084
434,0.80411,2.28729,2.22659,2.82343,2.8112
435,0.29366,2.705,2.54655,3.07231,3.05708
436,0.572057,2.5347,2.57095,3.91056,3.90376
437,0.685205,2.63881,2.74208,2.85737,2.82336
438,1.22644,2.20067,2.20166,2.94849,3.09075
439,0.79278,2.45342,2.6139,4.08747,4.08896
440,1.07236,2.25407,2.1857,4.74946,4.81856
441,0.77412,2.33044,2.38413,3.18584,3.26588
442,0.849564,2.83911,2.7161,2.89855,2.86159
443,1.03439,2.87915,2.80481,4.02139,4.034
444,1.05888,2.40323,2.29643,4.9168,4.94399
445,0.805,2.30404,2.29374,3.3117,3.13009
446,1.03724,2.23383,2.232,3.11069,3.11726
